NAME,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54
orderer1.supply.com,0.0039,0.0045,0.005,0.0054,0.0044,0.0044,0.0037,0.0031,0.0045,0.0051,0.0087,0.1148,0.0481,0.1205,0.096,0.0323,0.0081,0.0046
orderer2.supply.com,0.0067,0.0076,0.0088,0.0079,0.0072,0.0081,0.0062,0.0054,0.0072,0.0068,0.0097,0.2141,0.0955,0.1966,0.2233,0.0501,0.0122,0.0057
orderer3.supply.com,0.004,0.005,0.0043,0.0045,0.0048,0.004,0.0039,0.0035,0.0039,0.0049,0.0085,0.1609,0.05,0.1603,0.1134,0.048,0.0101,0.0048
peer1.bottling.supply.com,0.0849,0.1076,0.0349,0.0678,0.0307,0.0233,0.0403,0.0181,0.0486,0.0824,0.0318,0.7301,0.713,0.8484,0.9206,0.7126,0.1161,0.0341
peer1.distillery.supply.com,0.093,0.0329,0.0367,0.0258,0.0461,0.046,0.0312,0.0693,0.079,0.0273,0.0756,0.8554,0.7127,0.8061,0.8154,0.9072,0.6773,0.0904
peer1.hmrc.supply.com,0.0403,0.0184,0.0316,0.0343,0.0276,0.0393,0.0211,0.0959,0.0884,0.0233,0.0268,0.6459,0.7315,0.7476,0.7918,0.774,0.1798,0.1035
peer1.malting.supply.com,0.0275,0.0321,0.026,0.036,0.0341,0.0327,0.078,0.0861,0.0296,0.0284,0.0415,0.7376,0.7892,0.7288,0.6848,0.7189,0.1146,0.032
peer1.maturation.supply.com,0.0297,0.0187,0.0414,0.0272,0.0225,0.029,0.042,0.0962,0.0624,0.0304,0.0304,0.8272,0.7884,0.6969,0.8817,0.7658,0.6047,0.1107
peer1.producer1.supply.com,0.0237,0.0898,0.0858,0.0817,0.0966,0.0365,0.0342,0.0302,0.0262,0.0287,0.1008,0.8038,0.7546,0.7658,0.7639,0.6194,0.4682,0.067
peer1.producer2.supply.com,0.0926,0.0234,0.0397,0.0202,0.0309,0.0342,0.0176,0.0216,0.0735,0.1046,0.0284,0.7659,0.7314,0.6528,0.7617,0.719,0.6066,0.0573
peer1.retailer1.supply.com,0.031,0.0214,0.0389,0.0253,0.0708,0.0958,0.0382,0.027,0.0264,0.0183,0.0282,0.7928,0.7835,0.7345,0.8433,0.7313,0.2479,0.0306
peer1.retailer2.supply.com,0.0931,0.0806,0.0325,0.0986,0.0314,0.0197,0.017,0.0314,0.0309,0.0754,0.104,0.8488,0.7219,0.9478,0.9814,0.822,0.9695,0.0301
peer2.distillery.supply.com,0.0332,0.0327,0.044,0.0365,0.0417,0.088,0.0836,0.0159,0.0143,0.0268,0.0436,0.0761,0.0533,0.0792,0.0853,0.0669,0.0853,0.021
peer2.malting.supply.com,0.0244,0.04,0.0803,0.0337,0.0745,0.0727,0.0286,0.0294,0.0333,0.0222,0.035,0.1251,0.1116,0.1161,0.0752,0.0676,0.0888,0.0467
