NAME,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54
orderer1.supply.com,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.0019,0.0019,0.0019,0.0019
orderer2.supply.com,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0084,0.0084,0.0084,0.0084,0.0085,0.0085,0.0087,0.0087,0.0088,0.0088,0.0088
orderer3.supply.com,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0081,0.0081,0.0081,0.0081,0.0081,0.0083,0.0083,0.0084,0.0085,0.0085,0.0085
peer1.bottling.supply.com,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0046,0.0046,0.0046,0.0046,0.0046
peer1.distillery.supply.com,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.011,0.0111,0.0112,0.0113,0.0115,0.0115,0.0116,0.0116
peer1.hmrc.supply.com,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0048,0.0048,0.0048,0.0048,0.0047
peer1.malting.supply.com,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0048,0.0048,0.0048,0.0048,0.0048
peer1.maturation.supply.com,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0046,0.0045,0.0045
peer1.producer1.supply.com,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
peer1.producer2.supply.com,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0047,0.0048,0.0049,0.0049,0.0049,0.0048,0.0048
peer1.retailer1.supply.com,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0048,0.0048,0.0048,0.0048,0.0048
peer1.retailer2.supply.com,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0046,0.0046,0.0045,0.0045
peer2.distillery.supply.com,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041
peer2.malting.supply.com,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
