NAME,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114,117,120,123,126,129,132,135,138,141,144,147,150,153,156,159,162,165,168,171,174,177,180,183,186,189,192,195,198,201,204,207,210,213
orderer1.supply.com,0.0038,0.0336,0.0044,0.004,0.0048,0.0041,0.0044,0.0039,0.0039,0.0041,0.0043,0.0615,0.1598,0.0854,0.116,0.0138,0.0064,0.1429,0.0706,0.0034,0.1118,0.0481,0.0605,0.1134,0.0235,0.1153,0.0038,0.0065,0.02,0.1602,0.0059,0.0742,0.1274,0.0058,0.1371,0.0037,0.1248,0.0879,0.0044,0.1637,0.0349,0.0062,0.1916,0.0065,0.0029,0.172,0.003,0.0398,0.1694,0.1096,0.0046,0.1398,0.0047,0.083,0.0537,0.0029,0.1677,0.0039,0.0036,0.0773,0.1225,0.0037,0.1852,0.1127,0.0286,0.0042,0.0301,0.0235,0.0032,0.004,0.0051
orderer2.supply.com,0.0066,0.0061,0.0267,0.0068,0.0065,0.0063,0.006,0.006,0.0065,0.0073,0.0056,0.1207,0.1802,0.1518,0.1483,0.0057,0.0296,0.2595,0.1193,0.0077,0.1698,0.1234,0.1116,0.2414,0.0547,0.1729,0.0074,0.0115,0.0132,0.2466,0.0107,0.1726,0.231,0.0093,0.2452,0.0067,0.1689,0.2007,0.0064,0.2958,0.0729,0.0104,0.3101,0.0108,0.0048,0.2935,0.0147,0.0573,0.2331,0.0854,0.0076,0.261,0.0059,0.1649,0.144,0.005,0.2996,0.006,0.0054,0.1673,0.1983,0.0049,0.2421,0.1708,0.0417,0.0098,0.0671,0.0375,0.0043,0.0081,0.0073
orderer3.supply.com,0.0039,0.0036,0.0648,0.0045,0.0047,0.004,0.0047,0.0037,0.0038,0.0046,0.0041,0.1061,0.1871,0.148,0.1202,0.0132,0.0383,0.2178,0.1282,0.0037,0.1301,0.0856,0.0929,0.1868,0.0644,0.1201,0.0043,0.0073,0.0187,0.2235,0.0062,0.0994,0.191,0.0027,0.1802,0.0129,0.1238,0.1011,0.0048,0.1706,0.0453,0.007,0.2316,0.0068,0.0033,0.2501,0.0076,0.0529,0.2072,0.0542,0.0044,0.2107,0.0038,0.1498,0.1119,0.0033,0.2758,0.004,0.0037,0.1549,0.121,0.0044,0.2079,0.123,0.0341,0.0036,0.0357,0.0549,0.003,0.0042,0.0052
peer1.bottling.supply.com,0.0252,0.0825,0.0951,0.0389,0.0239,0.0213,0.0179,0.0247,0.0898,0.1101,0.0452,0.5129,0.6893,0.6754,0.8134,0.839,0.6389,0.7703,0.811,0.6788,0.7793,0.7284,0.7735,0.7724,0.7524,0.9656,0.1391,0.5369,0.5306,0.774,0.6988,0.7666,0.7885,0.7539,0.7538,0.11,0.7798,0.7704,0.0409,0.7,0.7168,0.8128,0.8243,0.5732,0.8131,0.7427,0.8089,0.7469,0.7021,0.7847,0.0443,0.7056,0.0772,0.763,0.8231,0.8307,0.8071,0.3758,0.846,0.7103,0.7716,0.8493,0.6446,0.7247,0.6662,0.2792,0.7266,0.1842,0.6232,0.0398,0.0187
peer1.distillery.supply.com,0.1039,0.081,0.0182,0.0261,0.0371,0.0219,0.0191,0.0773,0.0809,0.0199,0.035,0.6298,0.8284,0.7615,0.843,0.84,0.7283,0.8606,0.9889,0.6181,0.823,0.8182,0.779,0.8212,0.8093,0.7655,0.1064,1.0088,0.6292,1.0126,0.8474,0.835,0.7794,0.82,0.7684,0.1026,0.7536,0.8995,0.0588,0.8362,0.7481,0.7388,0.9487,0.3849,0.7222,0.9034,0.83,0.8524,0.8949,0.6982,0.0479,0.8299,1.07,0.9159,0.842,0.6848,0.9376,0.361,0.6964,0.8468,0.9536,0.7511,0.8914,0.8979,0.6656,1.1421,0.792,0.2378,0.7426,0.0447,0.0335
peer1.hmrc.supply.com,0.103,0.111,0.0183,0.0201,0.0334,0.013,0.0215,0.1118,0.1088,0.0298,0.0252,0.5125,0.6967,0.6305,0.7234,0.8265,0.8672,0.7878,0.6429,0.6567,0.7652,0.8252,0.8219,0.7118,0.7435,0.8087,0.1079,0.1758,0.5843,0.7182,0.7879,0.8247,0.6873,0.716,0.7443,0.1163,0.763,0.7237,0.0579,0.6745,0.7026,0.8144,0.6753,0.4006,0.764,0.7948,0.7051,0.8071,0.9354,0.7374,0.0539,0.7824,0.0436,0.7336,0.7523,0.7611,0.6617,0.1761,0.7634,0.7672,0.8158,0.7679,0.8876,0.638,0.6547,0.1931,0.7338,0.1917,0.7379,0.0583,0.0265
peer1.malting.supply.com,0.0617,0.0344,0.0384,0.0314,0.0254,0.082,0.0817,0.0283,0.0272,0.043,0.0356,0.4994,0.7445,0.6831,0.7473,0.7967,0.8876,0.7229,0.8279,0.6254,0.8061,0.8368,0.681,0.7603,0.6875,0.7162,0.3075,0.2411,0.5437,0.7585,0.758,0.7701,0.717,0.8753,0.7742,0.1162,0.744,0.7418,0.0526,0.7576,0.8049,0.7707,0.6326,0.3942,0.834,0.7976,0.801,0.7599,0.7993,0.7931,0.1016,0.7579,0.0618,0.7386,0.8175,0.7349,0.6765,0.2073,0.8115,0.6781,0.6324,0.7965,0.6638,0.7052,0.6618,0.8351,0.7366,0.1987,0.5771,0.0388,0.091
peer1.maturation.supply.com,0.1024,0.0329,0.0275,0.0183,0.0243,0.0246,0.0747,0.0998,0.0277,0.019,0.0303,0.576,0.7535,0.7888,0.8209,0.8086,0.8842,0.8532,0.8212,0.6975,0.7537,0.8375,0.7724,0.8227,0.7602,0.7719,0.0984,0.8867,0.5952,0.7728,0.8193,0.8341,0.8391,0.6934,0.7964,0.1064,0.6801,0.7579,0.0376,0.8089,0.6847,0.7084,0.8273,0.357,0.7411,0.8112,0.8308,0.7046,0.9497,0.8551,0.0515,0.7966,1.131,0.803,0.773,0.7539,0.701,0.2741,0.7081,0.8381,0.9264,0.7736,0.805,0.7358,0.6847,1.0796,0.7915,0.1915,0.7406,0.0218,0.0465
peer1.producer1.supply.com,0.0442,0.0269,0.0231,0.0868,0.0791,0.0254,0.0299,0.0578,0.02,0.0203,0.0914,0.613,0.8132,0.7431,0.7933,0.7569,0.7035,0.7556,0.7882,0.6258,0.7077,0.8295,0.7687,0.8287,0.7288,0.775,0.1298,0.9472,0.5068,0.7996,0.7922,0.7694,0.751,0.7313,0.8476,0.1545,0.7916,0.7525,0.0916,0.7912,0.8529,0.7718,0.7966,0.3605,0.7286,0.8537,0.7805,0.7903,0.7698,0.7503,0.0525,0.7375,0.1711,0.8396,0.8134,0.8454,0.8181,0.2539,0.7271,0.7764,0.653,0.8461,0.8542,0.7593,0.5261,0.3178,0.7426,0.2025,0.8725,0.0359,0.0357
